,game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_formation,away_club_formation,home_club_name,away_club_name,aggregate,competition_type
27,3223270,TR1,2019,29. Matchday,2020-06-27,1467.0,11282.0,3.0,3.0,8.0,7.0,İlhan Palut,Erol Bulut,Gürsel Aksel Stadyumu,,Yaşar Kemal Uğurlu,https://www.transfermarkt.co.uk/goztepe_alanyaspor/index/spielbericht/3223270,4-2-3-1,4-2-3-1,Göztepe Sportif Yatırımlar A.Ş.,Alanyaspor,3:3,domestic_league
28,3223308,TR1,2019,33. Matchday,2020-07-19,6890.0,3205.0,1.0,0.0,1.0,17.0,Okan Buruk,Robert Prosinecki,Başakşehir Fatih Terim,,Ali Şansalan,https://www.transfermarkt.co.uk/basaksehir-fk_kayserispor/index/spielbericht/3223308,4-4-2 double 6,4-1-4-1,İstanbul Başakşehir Futbol Kulübü,Kayserispor Kulübü,1:0,domestic_league
29,3223309,TR1,2019,33. Matchday,2020-07-19,11282.0,833.0,1.0,0.0,6.0,14.0,Erol Bulut,Levent Kartop,Gain Park Stadyumu,,Fırat Aydınus,https://www.transfermarkt.co.uk/alanyaspor_denizlispor/index/spielbericht/3223309,4-2-3-1,4-2-3-1,Alanyaspor,Denizlispor,1:0,domestic_league
30,3229345,IT1,2019,18. Matchday,2020-01-05,2722.0,276.0,0.0,2.0,20.0,11.0,Leonardo Semplici,Ivan Juric,Paolo Mazza,14078.0,Marco Guida,https://www.transfermarkt.co.uk/spal_hellas-verona/index/spielbericht/3229345,3-5-2 flat,3-4-2-1,SPAL,Verona Hellas Football Club,0:2,domestic_league
31,3229346,IT1,2019,19. Matchday,2020-01-11,1390.0,5.0,0.0,2.0,6.0,10.0,Rolando Maran,Stefano Pioli,Unipol Domus,16412.0,Rosario Abisso,https://www.transfermarkt.co.uk/cagliari-calcio_ac-milan/index/spielbericht/3229346,4-3-2-1,4-4-2 double 6,Cagliari Calcio,Associazione Calcio Milan,0:2,domestic_league
32,3229361,IT1,2019,20. Matchday,2020-01-19,252.0,12.0,1.0,3.0,20.0,4.0,Davide Nicola,Paulo Fonseca,Luigi Ferraris,20951.0,Fabio Maresca,https://www.transfermarkt.co.uk/genoa-cfc_as-roma/index/spielbericht/3229361,3-5-2 flat,4-2-3-1,Genoa Cricket and Football Club,Associazione Sportiva Roma,1:3,domestic_league
33,3229363,IT1,2019,20. Matchday,2020-01-20,800.0,2722.0,1.0,2.0,5.0,19.0,Gian Piero Gasperini,Leonardo Semplici,Gewiss Stadium,18313.0,Federico La Penna,https://www.transfermarkt.co.uk/atalanta-bc_spal/index/spielbericht/3229363,3-4-1-2,3-5-2 flat,Atalanta Bergamasca Calcio S.p.a.,SPAL,1:2,domestic_league
34,3229372,IT1,2019,21. Matchday,2020-01-26,276.0,1005.0,3.0,0.0,9.0,17.0,Ivan Juric,Fabio Liverani,Marcantonio Bentegodi,15425.0,Rosario Abisso,https://www.transfermarkt.co.uk/hellas-verona_us-lecce/index/spielbericht/3229372,3-4-2-1,5-3-2,Verona Hellas Football Club,Unione Sportiva Lecce,3:0,domestic_league
35,3229379,IT1,2019,22. Matchday,2020-02-02,5.0,276.0,1.0,1.0,6.0,9.0,Stefano Pioli,Ivan Juric,Giuseppe Meazza,55355.0,Daniele Chiffi,https://www.transfermarkt.co.uk/ac-milan_hellas-verona/index/spielbericht/3229379,4-4-2 double 6,3-4-2-1,Associazione Calcio Milan,Verona Hellas Football Club,1:1,domestic_league
36,3229538,IT1,2019,38. Matchday,2020-08-02,252.0,276.0,3.0,0.0,17.0,9.0,Davide Nicola,Ivan Juric,Luigi Ferraris,,Massimiliano Irrati,https://www.transfermarkt.co.uk/genoa-cfc_hellas-verona/index/spielbericht/3229538,3-5-2 flat,3-4-2-1,Genoa Cricket and Football Club,Verona Hellas Football Club,3:0,domestic_league
37,3264443,UKR1,2019,19. Matchday,2020-02-22,6993.0,10690.0,1.0,2.0,7.0,3.0,Oleksandr Babych,Viktor Skrypnyk,Stadion im. Volodymyra Boyko,1570.0,Yaroslav Kozyk,https://www.transfermarkt.co.uk/fk-mariupol_zorya-lugansk/index/spielbericht/3264443,4-1-4-1,4-1-4-1,FK Mariupol,FC Zorya Lugansk,1:2,domestic_league
38,3291934,CL,2019,last 16 1st leg,2020-02-25,6195.0,131.0,1.0,1.0,,,Gennaro Gattuso,Quique Setién,Diego Armando Maradona,44388.0,Dr. Felix Brych,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3291934,4-3-3 Attacking,4-3-3 Attacking,Società Sportiva Calcio Napoli,Futbol Club Barcelona,1:1,international_cup
39,3291985,EL,2019,intermediate stage 1st leg,2020-02-20,3709.0,610.0,2.0,0.0,,,Pepe Bordalás,Erik ten Hag,Coliseum,14039.0,Ruddy Buquet,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3291985,4-4-2,4-3-3 Defending,Getafe Club de Fútbol S.A.D. Team Dubai,AFC Ajax Amsterdam,2:0,international_cup
40,3292003,EL,2019,intermediate stage 2nd leg,2020-02-27,371.0,190.0,1.0,3.0,,,Neil Lennon,Ståle Solbakken,Celtic Park,56172.0,Artur Soares Dias,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/3292003,4-2-3-1,4-4-2,The Celtic Football Club,Football Club København,1:3,international_cup
41,3292277,GR1,2019,17. Matchday,2020-01-05,169.0,3999.0,0.0,1.0,14.0,8.0,Nikodimos Papavasiliou,Apostolos Mantzios,Stadio Neas Smyrnis,746.0,Aristidis Vatsios,https://www.transfermarkt.co.uk/panionios-athens_pas-lamia-1964/index/spielbericht/3292277,3-4-3,4-2-3-1,Panionios Athens,PAS Lamia 1964,0:1,domestic_league
42,3292282,GR1,2019,18. Matchday,2020-01-12,6676.0,653.0,2.0,0.0,11.0,8.0,Milan Rastavac,Georgios Simos,Gipedo Theodoros Kolokotronis,1229.0,Anastasios Sidiropoulos,https://www.transfermarkt.co.uk/asteras-tripolis_ofi-crete-fc/index/spielbericht/3292282,4-2-3-1,4-3-3 Attacking,A.G.S Asteras Tripolis,Omilos Filathlon Irakliou FC,2:0,domestic_league
